speed_m_s,drag_n,power_w
12.821746912084597,5.251273725984013,67.33050268064649
13.066942316184727,5.19280346666594,67.85406335820792
13.312137720284856,5.142668367270028,68.45990955485108
13.557333124384986,5.100365529887766,69.14735454481878
13.802528528485116,5.065436324882158,69.91582938341078
14.047723932585244,5.037461795772797,70.76487262796137
14.292919336685374,5.0160586111209895,71.69412111683837
14.538114740785502,5.000875490244308,72.7033016815537
14.783310144885633,4.991590040419886,73.79222368364938
15.028505548985763,4.987905952313587,74.96077228216386
15.273700953085891,4.98955050800461,76.20890234958021
15.518896357186021,4.996272362411363,77.5366329645349
15.76409176128615,5.007839564367625,78.9440424184905
16.00928716538628,5.024037788214002,80.4312636812701
16.25448256948641,5.044668750694718,81.99848027700007
16.49967797358654,5.06954879129603,83.64592252776937
16.744873377686666,5.098507597022394,85.3738641273135
16.990068781786796,5.131387055056709,87.18261901138386
17.235264185886926,5.168040218855113,89.07253849525677
17.480459589987056,5.208330375037916,91.04400865215243
17.725654994087186,5.252130200000628,93.09744790923726
17.970850398187316,5.29932099651963,95.23330484042721
18.216045802287447,5.349792001797274,97.4520561374502
18.461241206387573,5.403439759406813,99.754204742594
18.706436610487703,5.460167548481157,102.1402781283048
18.951632014587833,5.519884864259349,104.61082671033628
19.19682741868796,5.582506944776903,107.16642238250921
19.44202282278809,5.647954339074196,109.80765716234554
19.68721822688822,5.716152512812248,112.53514193791018
19.93241363098835,5.787031487637588,115.34950530714625
20.17760903508848,5.860525511035456,118.25139250183554
20.42280443918861,5.936572753760812,121.24146438907246
20.66799984328874,6.015115032245517,124.3203965438141
20.91319524738887,6.096097553652928,127.48887838667333
21.158390651488997,6.179468681492611,130.7476123816623
21.403586055589127,6.265179719921847,134.09731328907904
21.648781459689253,6.35318471505043,137.5387074691649
21.893976863789383,6.443440271734023,141.07253223255347
22.139172267889514,6.535905384491414,144.69953523388207
22.384367671989644,6.630541281314894,148.4204739052579
22.629563076089774,6.727311279262218,152.23611492655456
22.874758480189904,6.826180650825389,156.1472337297763
23.119953884290034,6.92711650016679,160.15461403496076
23.365149288390164,7.030087648398676,164.2590474153028
23.610344692490294,7.135064527158665,168.46133288937637
23.85554009659042,7.242019079802589,172.76227653850353
24.10073550069055,7.350924669597928,177.16269114748076
24.345930904790677,7.461755994356643,181.6633958670145
24.591126308890807,7.574489006996391,186.26521589635314
24.836321712990937,7.689100841564148,190.96898218471654
25.081517117091067,7.805569744297246,195.77553115023952
25.326712521191197,7.923875009333499,200.68570441524074
25.571907925291328,8.04399691871559,205.70034855672222
25.817103329391458,8.165916686364957,210.820314871086
26.062298733491588,8.28961640572787,216.04645915213254
26.307494137591714,8.415079000821152,221.37964148147358
26.552689541691844,8.542288180427608,226.820726030558
26.797884945791974,8.671228395211612,232.37058087356516
27.0430803498921,8.801884797544071,238.03007781047808
27.28827575399223,8.93424320384285,243.80009219969472
27.53347115809236,9.06829005925026,249.68150279958272
27.77866656219249,9.204012404483354,255.67519161842665
28.02386196629262,9.341397844705535,261.7820437722513
28.26905737039275,9.480434520279925,268.0029473500451
28.51425277449288,9.62111107927553,274.33879328593645
28.75944817859301,9.763416651607217,280.79047523790985
29.00464358269314,9.907340824699439,287.35888947267233
29.249838986793264,10.052873620571983,294.04493475631193
29.495034390893395,10.20000547425358,300.8495122504102
29.740229794993525,10.348727213436064,307.7735254132915
29.985425199093655,10.499030039288435,314.8178799061207
30.230620603193785,10.650905508355685,321.9834835035675
30.475816007293915,10.804345515472978,329.2712460087856
30.721011411394045,10.959342277630562,336.68207917246167
30.966206815494175,11.115888318729441,344.2168966157117
31.211402219594305,11.27397645517203,351.8766137566102
31.456597623694435,11.43359978223596,359.6621477401569
31.701793027794565,11.594751661182737,367.57441737149236
31.946988431894688,11.757425707056305,375.614343052189
32.19218383599482,11.92161577712972,383.7828467194562
32.43737924009495,12.087315959960709,392.08085178809785
32.68257464419508,12.254520565019913,400.50928309508697
32.92777004829521,12.423224112857705,409.06906684661476
33.17296545239534,12.593421325777873,417.76113056748807
33.41816085649547,12.765107118988562,426.5864030527552
33.6633562605956,12.938276592202705,435.5458143214444
33.90855166469573,13.112925021662123,444.64029557231146
34.15374706879586,13.28904785256096,453.8707791414918
34.39894247289599,13.466640691845809,463.2381984619642
34.64413787699611,13.64569930137128,472.74348802473617
34.88933328109624,13.826219591391109,482.3875833416667
35.13452868519637,14.008197614366045,492.1714209098432
35.3797240892965,14.191629559071169,502.0959381774425
35.62491949339663,14.376511744986095,512.1620735110008
35.87011489749676,14.562840616952663,522.3707661640246
36.11531030159689,14.750612740085684,532.7229562468829
36.36050570569702,14.93982479492309,543.2195846979149
36.60570110979715,15.130473572802714,553.8615932557008
36.85089651389728,15.32255597145369,564.6499244324388
37.096091917997406,15.516068990791139,575.5855214883774
37.341287322097536,15.711009728903559,586.6693284072575
37.586482726197666,15.907375378222746,597.9022898727113
37.831678130297796,16.10516322186704,609.2853512455837
38.076873534397926,16.304370630148764,620.8194585421263
38.322068938498056,16.504995057237657,632.5055584130312
38.567264342598186,16.707034037972285,644.3445981232627
38.812459746698316,16.910485184812003,656.3375255326541
39.057655150798446,17.115346184922487,668.4852890772363
39.302850554898576,17.321614797388065,680.7888377512629
39.548045958998706,17.529288850544745,693.2491210899071
39.79324136309883,17.738366239427823,705.8670891525951
40.03843676719896,17.948844923328682,718.6436925069555
40.28363217129909,18.160722923455246,731.5798822133506
40.52882757539922,18.37399832069131,744.6766098099729
40.77402297949935,18.58866925344986,757.9348272984777
41.01921838359948,18.80473391561594,771.3554871301301
41.26441378769961,19.02219055457488,784.9395421924489
41.50960919179974,19.241037469321725,798.6879457963203
41.75480459589987,19.46127300864826,812.6016516635684
42.0,19.682895569403776,826.6816139149586
